ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
54363,Hans Emil Boje Jensen,M,24,NA,NA,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Fours,NA
54363,Hans Emil Boje Jensen,M,24,NA,NA,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,NA
54367,Ernst Friborg Jensen,M,21,NA,NA,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,NA
54369,Claus Flemming Frederik Brandt Jensen,M,21,NA,NA,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Fours,NA
54385,Jens Berendt Jensen (-Berendt),M,20,185,83,Denmark,DEN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,NA
54385,Jens Berendt Jensen (-Berendt),M,24,185,83,Denmark,DEN,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,NA
54389,John Erik Jensen,M,23,186,80,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,NA
54401,Kirsten Plum Jensen (-Bjnness),F,14,154,47,Denmark,DEN,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,NA
54404,Knud Bruun Jensen,M,23,NA,NA,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,NA
54417,Mogens Jensen,M,23,186,77,Denmark,DEN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,NA
54424,Ole Peter Bloch Jensen,M,37,190,86,Denmark,DEN,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,NA
54427,Ole Scavenius Jensen,M,31,NA,NA,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,NA
54448,Ole Sren Jensen,M,29,NA,NA,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxless Pairs,NA
54507,Jeong Bu-Yeong,M,23,184,85,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
54527,Jeong Gwang-Su,M,20,187,85,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
54542,Jeong In-Gyo,M,22,164,50,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
54548,Jeong Jae-Won,M,19,188,82,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours,NA
54664,"Frederick Harold ""Frank"" Jerwood",M,22,NA,74,Cambridge University Boat Club-2,GBR,1908 Summer,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
54680,Michael Adler Jessen (-Durbahn),M,20,192,86,Denmark,DEN,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Pairs,NA
54680,Michael Adler Jessen (-Durbahn),M,24,192,86,Denmark,DEN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Bronze
54733,Ji Deok-Han,M,24,179,76,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,NA
54759,Ji Yoo-Jin,F,20,170,60,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,NA
54780,Jiang Haiyang,M,23,191,84,China,CHN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,NA
54800,Jiang Yan,F,27,178,70,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,NA
54894,Jin Wei,M,29,183,70,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,NA
54900,Jin Ziwei,F,18,183,75,China,CHN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,NA
54900,Jin Ziwei,F,22,183,75,China,CHN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Quadruple Sculls,Gold
54900,Jin Ziwei,F,26,183,75,China,CHN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,NA
54905,Jan Jindra,M,20,187,105,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Fours,Gold
54905,Jan Jindra,M,24,187,105,Czechoslovakia,TCH,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,NA
54905,Jan Jindra,M,28,187,105,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Bronze
54912,Jing Yanhua,F,23,180,75,China,CHN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Coxless Pairs,NA
